# taps installed F1
[MHB] F100 pc=40885EFC slot_hits=0 super_hits=0
[MHB] F200 pc=408469C6 slot_hits=0 super_hits=0
[MHB] F300 pc=40847360 slot_hits=0 super_hits=0
[MHB] F400 pc=40814926 slot_hits=0 super_hits=0
[slot] F400 pc=40806074 addr=FEFF04D4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04D8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04DC data=00000088 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04E0 data=0000009C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04E4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04E8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04EC data=000000AA mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04F0 data=000000A0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04F4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04F8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04FC data=0000006E mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0500 data=000000A1 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0504 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0508 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF050C data=000000B6 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0510 data=000000A2 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0514 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0518 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF051C data=00000022 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0520 data=000000A3 mask=000000FF
